question,accepted_response,rejected_response,rule
What was the outcome of the case SZEZW v Minister for Immigration & Multicultural & Indigenous Affairs [2006] FCA 521 in the Federal Court of Australia?,The Federal Court of Australia dismissed SZEZW's appeal against the Minister for Immigration & Multicultural & Indigenous Affairs in the case SZEZW v Minister for Immigration & Multicultural & Indigenous Affairs [2006] FCA 521.,The Federal Court dismissed the appeal against the decision of the Minister for Immigration & Multicultural & Indigenous Affairs in the case SZEZW v Minister for Immigration & Multicultural & Indigenous Affairs [2006] FCA 521.,pronoun
What does a 'Not Referred' outcome mean in the context of a referral under s 197AB and s 195A of the Act within the Department of Home Affairs in Australia?,A 'Not Referred' outcome indicates the Department of Home Affairs has decided not to forward the case for further consideration under sections 197AB and 195A of the Act.,The Department of Home Affairs concludes that the case does not necessitate an assessment under sections 197AB and 195A of the Act when it designates an outcome as 'Not Referred'.,mood
When did the Gas Pipelines Act 2000 commence in Tasmania?,"The Gas Pipelines Act 2000 commenced in Tasmania on the 1st of August, 2000.",The Gas Pipelines Act 2000 commenced in Tasmania on 4th December 2000.,pronoun
What were the factual matters that the defendant in Rivkin v Nationwide News Pty Limited [2002] NSWSC 798 wanted the plaintiff to discover?,The defendant in Rivkin v Nationwide News Pty Limited [2002] NSWSC 798 requested the plaintiff to disclose documents relevant to the allegations of defamation.,The defendant in Rivkin v Nationwide News Pty Limited [2002] NSWSC 798 sought the plaintiff's discovery of documents relevant to the allegations of defamation made by the plaintiff.,tense
"In the case of Applicant NARE of 2002 v Minister for Immigration & Multicultural & Indigenous Affairs [2003] FCA 1248, what was the reason the applicant did not disclose the source of the persecution she feared?",The applicant refrained from disclosing the persecution source she feared due to concerns for her family's safety.,The applicant refrained from disclosing the source of the persecution feared due to concerns for the safety of family members.,pronoun
"In the context of the ""Statement of Principles concerning incisional hernia (Balance of Probabilities) (No. 74 of 2016) (Cth)"", what conditions must be met for the factors set out in subsections 8(9) and 8(10) to apply?","The ""Statement of Principles concerning incisional hernia (Balance of Probabilities) (No. 74 of 2016) (Cth)"" stipulates that, for the factors in subsections 8(9) and 8(10) to apply, an individual must have experienced a significant abdominal trauma or undergone an abdominal surgery prior to the clinical onset of the incisional hernia.","For the factors in subsections 8(9) and 8(10) of the ""Statement of Principles concerning incisional hernia (Balance of Probabilities) (No. 74 of 2016) (Cth)"" to apply, the individual must demonstrate that the incisional hernia resulted from or materialized as a direct consequence of an identifiable physical activity, trauma, or condition, under circumstances meeting the criteria specified within these subsections.",tense
"In the context of New South Wales legal proceedings, how is the discretion over costs exercised and what is its intended purpose?","In New South Wales legal proceedings, judges exercise discretion over costs to ensure fairness and to encourage efficient resolution of disputes, aligning with the accepted style of articulation.","In New South Wales legal proceedings, the court exercises discretion over costs to ensure fairness in the allocation of expenses, aiming to reflect the outcome and conduct of the parties throughout the case.",tense
"In the case of Regina v Moussad [1999] NSWCCA 337, what was the Crown's argument regarding Walsh's conduct and how did the justices interpret the relevant statute?","The Crown argued that Walsh's conduct constituted fraud, and the justices interpreted the relevant statute as encompassing such actions within its scope.","The Crown contended Walsh's behavior constituted inducement under the relevant statute, a position the justices evaluated and ultimately defined through their legal interpretation.",mood
"In the case of Liati, Angela v Fitzsimons, Christopher Ronald [1996] FCA 1103, what was the court's decision regarding the appellant's request for adjournment of the proceedings?","The court compassionately denied Angela Liati's heartfelt request for an adjournment of the proceedings, emphasizing the importance of judicial process continuity.",The court denied Angela Liati's request to adjourn the proceedings in the case against Christopher Ronald Fitzsimons.,words
What is the requirement for Fokker F28 Series Aeroplanes as per the AD/F28/71 Wing to Fuselage Skin Connection under the Civil Aviation Regulations 1998 of the Commonwealth of Australia?,"The Civil Aviation Regulations 1998 of the Commonwealth of Australia mandate that Fokker F28 Series Aeroplanes must undergo detailed inspections of the wing to fuselage skin connection, as specified in AD/F28/71, to ensure structural integrity.",The Civil Aviation Regulations 1998 of the Commonwealth of Australia mandate that operators of Fokker F28 Series Aeroplanes must inspect the wing to fuselage skin connection for cracking and accomplish any necessary repairs in accordance with the Airworthiness Directive AD/F28/71.,pronoun
"What are the jurisdictional tests under Part 2 of the Trees Act that the Court must be satisfied with before making any orders, as per the decision in Dominello v Bosso [2021] NSWLEC 1641 in New South Wales?","The Court, under Part 2 of the Trees Act, must be satisfied that the tree has caused, is causing, or is likely to cause damage or injury, or unreasonably obstructs views or sunlight, as established in Dominello v Bosso [2021] NSWLEC 1641 in New South Wales.","The Court, under Part 2 of the Trees Act, necessitates satisfaction regarding the tree's interference with the enjoyment of land or damage to property, as elucidated in Dominello v Bosso [2021] NSWLEC 1641 in New South Wales.",tense
"In the case of CBL v Southern Cross University [2017] NSWCATAD 125, what was the Respondent's position regarding the appropriateness of the discretion under subsection 53(4) and the use of alternative remedies?",Southern Cross University argued that the discretion under subsection 53(4) was appropriately exercised and alternative remedies were not necessary.,Southern Cross University contended that the discretion under subsection 53(4) was appropriately exercised and alternative remedies were suitably considered.,tense
What was the condition for the settlement in the matter of Wetherill Park Holdings Pty Ltd [2021] NSWSC 282?,The condition for the settlement in the matter of Wetherill Park Holdings Pty Ltd [2021] NSWSC 282 necessitated the parties to reach a mutual agreement on the payment of a specified sum.,The court mandated Wetherill Park Holdings Pty Ltd to pay an agreed sum as part of the settlement terms in the 2021 case.,tense
What is the sequence of events related to the offences committed by the defendant in the case of R v Matthews [2020] NSWDC 354?,"In the case of R v Matthews [2020] NSWDC 354, the court documents outline that the defendant first assaulted the victim, then threatened the victim, and subsequently damaged the victim's property.","The court documents delineate that the defendant initially committed theft, followed by an assault, culminating in an attempt to obstruct justice.",mood
What was the basis of the appellant's application for a protection visa in the case of Mendis v Minister for Immigration & Multicultural Affairs [2001] FCA 1660?,The appellant applied for a protection visa based on his claim of political persecution in Sri Lanka.,The appellant's application for a protection visa in Mendis v Minister for Immigration & Multicultural Affairs [2001] FCA 1660 rested on claims of facing persecution due to political affiliation.,mood
"What are the requirements for notifying particulars in relation to a communication broadcast by radio or television, as per the Commonwealth Electoral (Authorisation of Voter Communication) Determination 2021 (Cth)?","The Commonwealth Electoral (Authorisation of Voter Communication) Determination 2021 passionately mandates that broadcasters must joyfully ensure the inclusion of clear, accessible authorisation details in any political communication, igniting a sense of transparency and trust in our cherished democratic process.","The Commonwealth Electoral (Authorisation of Voter Communication) Determination 2021 (Cth) mandates that any communication broadcast by radio or television must include a clearly spoken statement of the individual or entity authorizing the broadcast, along with the suburb, town, or city in which their principal place of business or residence is located.",words
What are the penalties for non-compliance with the regulations regarding residence contracts under the Retirement Villages Act 1992 in Western Australia?,Non-compliance with the regulations regarding residence contracts under the Retirement Villages Act 1992 in Western Australia may result in the imposition of fines or other penalties.,"For not adhering to the guidelines on residence contracts under the Retirement Villages Act 1992 in Western Australia, penalties are imposed.",voice
"What is the nature of the connection between the Nukunu People and the land, as described in the case of Turner on behalf of the Nukunu People v State of South Australia [2019] FCA 863?",The Turner on behalf of the Nukunu People v State of South Australia [2019] FCA 863 case describes the Nukunu People's connection to the land as non-exclusive native title rights and interests.,"In Turner on behalf of the Nukunu People v State of South Australia [2019] FCA 863, the court recognizes the Nukunu People's non-exclusive native title rights and interests over the land, encompassing access, use, and resources activities, but not including possession, occupation, or exclusive rights to the land.",pronoun
What was the outcome of the case Econ Holdings Pty Ltd v Sims Lockwood & Partners [1999] FCA 368 in the Federal Court of Australia?,The Federal Court of Australia found in favor of Econ Holdings Pty Ltd in the case Econ Holdings Pty Ltd v Sims Lockwood & Partners [1999] FCA 368.,The Federal Court of Australia dismissed Econ Holdings Pty Ltd's appeal against Sims Lockwood & Partners in the case [1999] FCA 368.,tense
"What is the definition of a ""full and satisfactory explanation"" by a claimant for non-compliance with a duty or for delay, as per Chapter 4 of the Act in New South Wales?","In New South Wales, Chapter 4 of the Act defines a ""full and satisfactory explanation"" by a claimant for non-compliance with a duty or for delay as an account that comprehensively and acceptably clarifies the reasons for the failure to comply or the tardiness, meeting the specific criteria and standards set forth within the legislation.","A ""full and satisfactory explanation"" by a claimant for non-compliance with a duty or for delay, as per Chapter 4 of the Act in New South Wales, necessitates the claimant to provide comprehensive and adequate reasons that justify the failure to meet obligations or the postponement in actions.",tense
What is the legal principle regarding negligence as discussed in the case Acuna v Apple Pty Ltd [2022] NSWCATCD 53?,"The Acuna v Apple Pty Ltd [2022] NSWCATCD 53 case passionately clarifies that, for a negligence claim to succeed, the plaintiff must compellingly demonstrate that the defendant owed them a duty of care, breached that duty, and directly caused harm as a result of that breach.","The legal principle regarding negligence, as discussed in the case Acuna v Apple Pty Ltd [2022] NSWCATCD 53, establishes that a defendant owes a duty of care to the plaintiff and breaches this duty by failing to act in a manner that a reasonable person would, leading to damages or injury to the plaintiff.",words
"In the case of Deighton, Raymond John v Telstra Corporation Ltd [1997] FCA 58, what was the Tribunal's decision regarding the applicant's request for an extension of time for lodging an amended application for review?",The Tribunal granted Raymond John Deighton an extension of time for lodging an amended application for review in the case against Telstra Corporation Ltd [1997] FCA 58.,"The Tribunal refused to grant the applicant, Raymond John Deighton, an extension of time for lodging an amended application for review against Telstra Corporation Ltd.",mood
"Under the Loans (Co-operative Companies) Act 2004 (WA), who has the authority to make a loan to an eligible co-operative and under what conditions?","Under the Loans (Co-operative Companies) Act 2004 (WA), authority to make a loan to an eligible co-operative is vested in the Treasurer, provided that the co-operative complies with specified conditions outlined in the Act.","Under the Loans (Co-operative Companies) Act 2004 (WA), it is not anyone but the Treasurer who lacks the authority to refuse a loan to an eligible co-operative, provided that the co-operative does not fail to meet the prescribed conditions.",voice
"In the case of Carvajal v Lamba [2019] NSWDC 284, did the court draw any adverse inference against the plaintiff for not mentioning certain details about the accident in her initial descriptions?","In the emotionally charged case of Carvajal v Lamba [2019] NSWDC 284, the court compassionately decided not to draw any harsh adverse inferences against the plaintiff for her initial omission of certain details about the accident, understanding the complexities of human memory and the stressful nature of such situations.","In Carvajal v Lamba [2019] NSWDC 284, the court did not draw any adverse inference against the plaintiff for omitting certain details about the accident in her initial descriptions.",words
"Under the Wills Act 1970 (WA), what measures can the Court take to protect the privacy of persons to whom applications relate in proceedings under section 40?","Under the Wills Act 1970 (WA), the Court can order that any part of the proceedings under section 40 be conducted without being published, or make any other order it considers necessary to protect the privacy of individuals involved in the applications.","The Court, under the Wills Act 1970 (WA), cannot disclose to the public any documents or information related to applications under section 40 to safeguard the privacy of involved individuals.",mood
What are the possible avenues for an applicant to challenge a joint liquidators payment under the Corporations Law in the Commonwealth jurisdiction?,An applicant may seek to contest a joint liquidators' payment under the Corporations Law in the Commonwealth jurisdiction by applying to the court for a review of the decision or by lodging a complaint with the Australian Securities and Investments Commission.,Applicants find themselves without the option to challenge a joint liquidators' payment under the Corporations Law in the Commonwealth jurisdiction through any prescribed avenue.,mood
What were the conditions of engagement for the carriers in the case of Transport Workers’ Union of New South Wales v Conco Construction Services Pty Ltd [2020] NSWIRComm 1054?,"The carriers passionately embraced their roles under conditions that mandated their engagement as independent contractors, rather than employees, a decision deeply underscored in the heart-wrenching case of Transport Workers’ Union of New South Wales v Conco Construction Services Pty Ltd [2020] NSWIRComm 1054.",The court determined that the carriers in the Transport Workers’ Union of New South Wales v Conco Construction Services Pty Ltd [2020] NSWIRComm 1054 case were engaged under contracts that did not provide them with employee entitlements.,words
"In the case of ABC Learning Centres Limited, in the matter of ABC Learning Centres Limited; application by Walker (No. 7) [2009] FCA 454, what was the concern raised by the Administrators regarding the notification of the court's orders to interested parties?","In the matter of ABC Learning Centres Limited, the Administrators expressed concerns regarding the adequacy of notifying interested parties about the court's orders.",The Administrators expressed concerns about the practicality and efficacy of notifying all interested parties about the court's orders due to the extensive number of stakeholders involved.,tense
What are the actions that the Law Society must take after completing an investigation of a complaint against an Australian legal practitioner according to the decision in Wyvill v Law Society Northern Territory [2019] FCA 2050?,"Upon concluding an investigation of a complaint against an Australian legal practitioner, the Law Society must decide whether to initiate disciplinary proceedings or take another course of action, as mandated by the decision in Wyvill v Law Society Northern Territory [2019] FCA 2050.","Following the completion of an investigation into a complaint against an Australian legal practitioner, the Law Society must decide whether to take no further action, issue a reprimand, impose a fine, order compensation for any loss suffered, or recommend the suspension or cancellation of the practitioner's license, as established in Wyvill v Law Society Northern Territory [2019] FCA 2050.",tense
What is the sequence of events related to the offences committed by the defendant in the case of R v Matthews [2020] NSWDC 354?,"In R v Matthews [2020] NSWDC 354, the defendant first committed burglary, followed by assault, and finally, the act of arson.","In the case of R v Matthews [2020] NSWDC 354, the court determines the sequence of events related to the offences the defendant commits.",pronoun
"In the case of Rocks and Jeskie v The Uniting Church in Australia [2002] NSWIRComm 57, what was the argument made by Mr McArdle regarding the respondents' relationship with the applicants?",Mr McArdle argued that the respondents were not employers of the applicants in the context of an employment relationship.,"Mr McArdle contended that the respondents did not employ the applicants, disputing the existence of an employment relationship between them.",mood
"In the case of Cominos v Cominos [1972] HCA 54, what was the basis for asserting the invalidity of the challenged provisions?","In Cominos v Cominos [1972] HCA 54, the court found the challenged provisions invalid due to their inconsistency with the overriding federal law.",The court determined the provisions invalid due to their inconsistency with the express terms of the relevant statute.,tense
What powers does the court have under Section 90-15 of Schedule 2 to the Bankruptcy Act in relation to the administration of a regulated debtor’s estate?,"Under Section 90-15 of Schedule 2 to the Bankruptcy Act, the court possesses the authority to make orders regarding the administration of a regulated debtor’s estate, including adjusting the powers of a trustee.","The court, under Section 90-15 of Schedule 2 to the Bankruptcy Act, holds the authority to issue orders necessary for the equitable distribution of a regulated debtor's estate among creditors.",tense
What was the outcome of the negotiations between the Gunditjmara People and the State of Victoria in the case of Lovett on behalf of the Gunditjmara People v State of Victoria [2007] FCA 474?,"The Federal Court recognized the Gunditjmara People's native title rights over a portion of land and waters in the case of Lovett on behalf of the Gunditjmara People v State of Victoria [2007] FCA 474, following successful negotiations.",The Federal Court recognized the Gunditjmara People's native title rights over parts of their traditional lands in the case of Lovett on behalf of the Gunditjmara People v State of Victoria [2007] FCA 474.,tense
"In the case of Schanka, Peter & Ors v Employment National (Administration) Pty Ltd [1998] FCA 1123, can a person who did not sign an Australian Workplace Agreement (AWA) or take up employment with the employer still be considered a ""party"" for the purposes of section 170VV(3)?","In Schanka, Peter & Ors v Employment National (Administration) Pty Ltd [1998] FCA 1123, it is established that an individual who neither signed an Australian Workplace Agreement (AWA) nor commenced employment with the employer is not regarded as a ""party"" under section 170VV(3).","In the case of Schanka, Peter & Ors v Employment National (Administration) Pty Ltd [1998] FCA 1123, it is not found permissible for an individual who neither signed an Australian Workplace Agreement (AWA) nor commenced employment with the employer to be regarded as a ""party"" within the context of section 170VV(3).",voice
"In the case of Cominos v Cominos [1972] HCA 54, what was the basis for asserting the invalidity of the challenged provisions?","In Cominos v Cominos [1972] HCA 54, the High Court found the challenged provisions invalid because they conflicted with the Constitution's requirement for judicial power to reside in a court.","In Cominos v Cominos [1972] HCA 54, the court found the provisions invalid because they contravened the requirement for a genuine attempt at reconciliation before granting a divorce decree.",pronoun
What is the requirement for Pratt and Whitney JT9D-7F engines as per the Australian secondary legislation AD/JT9D/26 - Diffuser Case Inspection?,The Australian secondary legislation AD/JT9D/26 mandates that owners must inspect the diffuser case of Pratt and Whitney JT9D-7F engines.,The Australian secondary legislation AD/JT9D/26 mandates that inspections of the diffuser case on Pratt and Whitney JT9D-7F engines must occur at specified intervals.,pronoun
"In the case of Kabic v Workers Compensation Nominal Insurer (No 3) [2017] NSWSC 1281, what were the opposing positions of the plaintiff and the defendants regarding the circumstances of the plaintiff's fall?","In Kabic v Workers Compensation Nominal Insurer (No 3) [2017] NSWSC 1281, the plaintiff claims the fall occurred during employment, while the defendants argue it happened outside the scope of employment.","The plaintiff contends the fall occurred during work, warranting compensation, whereas the defendants argue it transpired outside employment scope, negating liability.",mood
"In the case of Purvis v State of New South Wales (Department of Education & Training) [2002] FCAFC 106 ; [2002] FCA 503, what was the error made by the Tribunal in relation to the hypothetical student scenario?","In Purvis v State of New South Wales (Department of Education & Training) [2002] FCAFC 106 ; [2002] FCA 503, it is found that the Tribunal erred by not appropriately considering the comparative treatment of a hypothetical student without a disability in its assessment.","In the case of Purvis v State of New South Wales (Department of Education & Training) [2002] FCAFC 106 ; [2002] FCA 503, it is not acknowledged that the Tribunal erroneously failed to consider, in the hypothetical student scenario, the comparator's circumstances as being without the behavioural issues attributed to the disability.",voice
What were some of the documents in evidence in the case of Casumo Constructions Pty Ltd v Botany Bay City Council [2006] NSWLEC 445?,"In the case of Casumo Constructions Pty Ltd v Botany Bay City Council [2006] NSWLEC 445, the documents presented in evidence included the development application, environmental impact statements, and submissions from both parties.","In the matter of Casumo Constructions Pty Ltd v Botany Bay City Council [2006] NSWLEC 445, documents including development application forms, environmental impact assessments, and correspondence between the parties were not omitted from the evidence presented.",voice
"In the case of Inspector Ching v Simpson Design Associates Pty Ltd [2009] NSWIRComm 213, what was the defendant's position regarding their responsibility for the design of the gate?","In Inspector Ching v Simpson Design Associates Pty Ltd [2009] NSWIRComm 213, the defendant maintained that they bore no responsibility for the design of the gate.","In the case of Inspector Ching v Simpson Design Associates Pty Ltd [2009] NSWIRComm 213, the defendant's responsibility for the design of the gate was not acknowledged by them.",voice
"In the case of Thomas v The Hills Shire Council [2013] NSWLEC 1108, what was the Council's position on the revised Plan of Management for the hotel?",The Council did not support the revised Plan of Management for the hotel in Thomas v The Hills Shire Council [2013] NSWLEC 1108.,The Council did not accept the revised Plan of Management for the hotel.,voice
"In the case of Applicant NARE of 2002 v Minister for Immigration & Multicultural & Indigenous Affairs [2003] FCA 1248, what was the reason the applicant did not disclose the source of the persecution she feared?",The applicant refrained from disclosing the persecution source due to a genuine fear of reprisal towards her family.,The applicant did not disclose the source of the persecution feared due to a genuine fear that harm would befall the family if such information were revealed.,tense
"What is the levy amount to be paid by a betting operator in Western Australia for betting exchange bets placed or accepted on a race meeting occurring on or after 1 May 2021, according to the Racing Bets Levy Regulations 2009 (WA)?","The levy amount required to be paid by a betting operator in Western Australia for betting exchange bets placed or accepted on a race meeting occurring on or after 1 May 2021, according to the Racing Bets Levy Regulations 2009 (WA), stands at 2% of the gross betting revenue.","A betting operator in Western Australia is not exempt from a levy for betting exchange bets placed or accepted on a race meeting occurring on or after 1 May 2021, as mandated by the Racing Bets Levy Regulations 2009 (WA), which stipulates the levy amount at 2% of the betting turnover.",voice
What was the outcome of the case AQN v Office of Public Guardian [2013] NSWADT 172 in New South Wales?,The Tribunal determined that the Office of Public Guardian's decision was upheld in the case AQN v Office of Public Guardian [2013] NSWADT 172.,"In the case AQN v Office of Public Guardian [2013] NSWADT 172 in New South Wales, the Tribunal dismissed the application, upholding the decision of the Office of the Public Guardian.",pronoun
Who represented the applicant and the respondent in the case of CCA Beverages (Sydney) Pty Limited v Commissioner of Taxation [1995] FCA 980?,"In the case of CCA Beverages (Sydney) Pty Limited v Commissioner of Taxation [1995] FCA 980, the applicant's representation fell to Messrs. S.J. Gageler and D.H. Bloom, while the Honourable D.F. O'Loughlin represented the respondent.",The legal representatives for CCA Beverages (Sydney) Pty Limited and Commissioner of Taxation in the case of CCA Beverages (Sydney) Pty Limited v Commissioner of Taxation [1995] FCA 980 were their respective lawyers.,pronoun
What powers does the court have under Section 90-15 of Schedule 2 to the Bankruptcy Act in relation to the administration of a regulated debtor’s estate?,"Under Section 90-15 of Schedule 2 to the Bankruptcy Act, the court possesses the authority to make orders regarding the administration of a regulated debtor's estate, ensuring the process aligns with legal standards and fairness.","Under Section 90-15 of Schedule 2 to the Bankruptcy Act, it is not the case that the court lacks the authority to make orders regarding the examination of people concerning a regulated debtor's estate's affairs, the appointment of a special manager to act with the trustee, and the direction of how the trustee is to deal with the estate.",voice
"In the case of Timar v Minister for Justice & Customs [2001] FCA 663, what was the argument made by the counsel for Professor Timar regarding the Minister's decision?","The counsel passionately argued that the Minister's decision deeply wronged Professor Timar by unjustly dismissing his application for a visa, an act they fervently contended was both unfair and not in line with the principles of justice.","In Timar v Minister for Justice & Customs [2001] FCA 663, the counsel for Professor Timar argued that the Minister's decision to cancel Professor Timar's visa lacked procedural fairness.",words
"In the case of Johnson v DOCS [1999] NSWSC 1156, what was the Master's conclusion regarding the appellant's cause of action?",The Master determined that the appellant's cause of action lacked sufficient factual basis to proceed.,The Master found the appellant's cause of action unsustainable.,mood
Who were the applicants and respondents in the case of Jones Lang Lasalle (Qld) Pty Ltd v Dart [2005] FCA 1614?,"In the case of Jones Lang Lasalle (Qld) Pty Ltd v Dart [2005] FCA 1614, Jones Lang Lasalle (Qld) Pty Ltd served as the applicant, while Dart was positioned as the respondent.","In the case of Jones Lang Lasalle (Qld) Pty Ltd v Dart [2005] FCA 1614, Jones Lang Lasalle (Qld) Pty Ltd was identified as the applicant, whereas Dart took the position of the respondent.",voice
What was the decision made in the case of Zhou v Inner West Council [2018] NSWLEC 1449 regarding the development application DA201700142?,The Land and Environment Court ruled against the development application DA201700142 in the case of Zhou v Inner West Council [2018] NSWLEC 1449.,The court dismissed Zhou's appeal against Inner West Council's refusal of development application DA201700142.,tense
"Under the Drug Court Act 1998 (NSW), what factors must the Drug Court consider when reconsidering a drug offender's initial sentence upon termination of their program?","The Drug Court thoughtfully evaluates an individual's progress, their earnest efforts towards rehabilitation, and the genuine impact of their actions on the community when deciding to adjust a drug offender's initial sentence after they conclude their program, as mandated by the Drug Court Act 1998 (NSW).","The Drug Court Act 1998 (NSW) mandates that the Drug Court examines the offender's conduct during the program, the extent of compliance with the program's terms, and any progress towards rehabilitation when reconsidering an initial sentence upon the program's termination.",words
What is the family background of the offender in the case R v Lasalo [2021] NSWDC 109?,The family background of the offender in the case R v Lasalo [2021] NSWDC 109 includes a history of domestic violence and substance abuse.,The court does not acknowledge the family background of the offender in the case R v Lasalo [2021] NSWDC 109 as relevant to the legal question posed.,mood
What is the definition of 'cumulative equivalent dose' as per the Statement of Principles concerning malignant neoplasm of bone and articular cartilage (Reasonable Hypothesis) (No. 66 of 2020) (Cth)?,"The Statement of Principles concerning malignant neoplasm of bone and articular cartilage (Reasonable Hypothesis) (No. 66 of 2020) (Cth) defines 'cumulative equivalent dose' as the sum, in sieverts, of all ionising radiation doses received by the individual, adjusted for their varying biological effectiveness, throughout their lifetime.","The Statement of Principles concerning malignant neoplasm of bone and articular cartilage (Reasonable Hypothesis) (No. 66 of 2020) (Cth) defines 'cumulative equivalent dose' as the sum of all ionizing radiation doses received by an individual's bone marrow or gonads, converted to a single total dose, considering the type of radiation and the energy absorbed by the body tissues.",tense
Who represented the applicant and the respondent in the case of CCA Beverages (Sydney) Pty Limited v Commissioner of Taxation [1995] FCA 980?,"In the case of CCA Beverages (Sydney) Pty Limited v Commissioner of Taxation [1995] FCA 980, legal representation for the applicant was provided by Mr. R. G. McHugh QC and Mr. J. J. T. Gleeson QC, whereas Mr. D. F. Jackson QC represented the respondent.","In the case of CCA Beverages (Sydney) Pty Limited v Commissioner of Taxation [1995] FCA 980, D.F. Jackson QC, along with G.T. Johnson, acted on behalf of the applicant, whereas B.W. Walker acted in representation of the respondent.",tense
What was the outcome of the negotiations between the Gunditjmara People and the State of Victoria in the case of Lovett on behalf of the Gunditjmara People v State of Victoria [2007] FCA 474?,The negotiations resulted in the Gunditjmara People and the State of Victoria reaching an agreement that recognized the Gunditjmara People's native title rights over parts of their traditional lands.,"The State of Victoria did not succeed in the negotiations, as the court recognized the Gunditjmara People's native title rights in the case of Lovett on behalf of the Gunditjmara People v State of Victoria [2007] FCA 474.",mood
"In the context of Australian law, does falling sick, receiving medical treatment, or being buried constitute as part of inter-State commerce or intercourse?","Under Australian law, falling sick, receiving medical treatment, or being buried do not constitute inter-State commerce or intercourse.","In Australian law, falling sick, receiving medical treatment, or being buried does not constitute part of inter-State commerce or intercourse.",pronoun
What were the claims made by Mr Luo in the case Luo v Zhai [2015] FCA 350 and what was the judgement?,"Mr Luo claimed copyright infringement against Mr Zhai, and the Federal Court of Australia ruled in favor of Mr Luo, granting him damages and injunctive relief.","Mr Luo claimed compensation for breach of contract and fiduciary duties, but the court dismissed these claims, ruling against him.",mood
"What does Part 9, rule 6 of the Workers Compensation Court Rules 1990 in New South Wales stipulate about the process when there is a dispute over the actual or probable earnings of a worker in a compensation case?","Part 9, rule 6 of the Workers Compensation Court Rules 1990 in New South Wales mandates an arbitration process to resolve disputes regarding a worker's actual or probable earnings in a compensation case.","Part 9, rule 6 dictates that the court evaluates the dispute over a worker's earnings in a compensation case by assessing the evidence presented.",mood
"In the case of AMEC Engineering Pty Ltd v Communications, Electrical, Electronic, Energy, Information, Postal, Plumbing & Allied Services Union of Australia [2003] FCA 28, what incidents led the court to believe there was a serious question to be tried regarding the involvement of the respondent unions in the picketing?","The court found evidence of the respondent unions' involvement in the picketing through documented planning and execution activities, leading to the conclusion that a serious question warranted judicial examination.","The court found evidence suggesting the respondent unions played a role in organizing and participating in the picketing, leading to the belief that a serious question required examination.",tense
"What does Part 9, rule 6 of the Workers Compensation Court Rules 1990 in New South Wales stipulate about the process when there is a dispute over the actual or probable earnings of a worker in a compensation case?","Part 9, rule 6 of the Workers Compensation Court Rules 1990 in New South Wales compassionately mandates that, in a dispute concerning a worker's actual or probable earnings in a compensation case, the court must consider all relevant evidence to justly determine the earnings.","Part 9, rule 6 of the Workers Compensation Court Rules 1990 in New South Wales mandates that the court determines the actual or probable earnings of a worker in a compensation case when there is a dispute.",words
What are the requirements for the display of the pregnancy warning mark on corrugated cardboard packaging according to the Food Standards (Application A1256 – Colour of pregnancy warning labels for corrugated cardboard packaging) Variation (Cth)?,"The Food Standards (Application A1256 – Colour of pregnancy warning labels for corrugated cardboard packaging) Variation (Cth) necessitates that the pregnancy warning mark must be prominently displayed on corrugated cardboard packaging, ensuring visibility and legibility to effectively communicate the risk.","The Food Standards (Application A1256 – Colour of pregnancy warning labels for corrugated cardboard packaging) Variation (Cth) is not disregarded when it mandates that the pregnancy warning mark must be displayed prominently on corrugated cardboard packaging, ensuring it remains highly visible and legible to consumers.",voice
What were the essential issues for determination in the case of Foxtel Management Pty Ltd v Seven Cable Television Pty Ltd [2000] FCA 1159?,"In the case of Foxtel Management Pty Ltd v Seven Cable Television Pty Ltd [2000] FCA 1159, the court primarily focused on deciding whether Seven Cable Television Pty Ltd had infringed upon Foxtel Management Pty Ltd's copyright and if specific defences applied under the Copyright Act.",The court needed to resolve whether Seven Cable Television Pty Ltd infringed on Foxtel Management Pty Ltd's copyright by retransmitting television broadcasts without authorization.,pronoun
"In the case of Combined Civil Engineering Pty Ltd t/as Hoxton Park Sand and Soil v Hoxton Park Sand and Soil Pty Ltd [2006] NSWLC 35, what issue arose regarding the vendor's ownership of the items of plant included in the schedule?","In the case of Combined Civil Engineering Pty Ltd t/as Hoxton Park Sand and Soil v Hoxton Park Sand and Soil Pty Ltd [2006] NSWLC 35, the issue concerned whether the vendor actually owned the items of plant listed in the schedule at the time of the sale.","In the Combined Civil Engineering Pty Ltd t/as Hoxton Park Sand and Soil v Hoxton Park Sand and Soil Pty Ltd [2006] NSWLC 35 case, the issue that was brought to attention revolved around the uncertainty concerning the vendor's rightful possession of the items of plant listed in the schedule.",voice
What was the offer of compromise proposed by the defendants in the case of Bignell Pty Ltd v Edenden t/a Everdry Waterproofing and Coatings [2004] NSWSC 288?,"The defendants proposed to settle the dispute by paying the plaintiff a sum of $22,500 plus costs as agreed or assessed in the case of Bignell Pty Ltd v Edenden t/a Everdry Waterproofing and Coatings [2004] NSWSC 288.",The defendants did not propose any offer of compromise in the case of Bignell Pty Ltd v Edenden t/a Everdry Waterproofing and Coatings [2004] NSWSC 288.,mood
